iter	Logloss
0	0.6901411592
1	0.6866215328
2	0.6837355165
3	0.6803637741
4	0.676812745
5	0.6734664676
6	0.6705353789
7	0.6657573045
8	0.6610729016
9	0.6588592428
10	0.6557508866
11	0.6522739928
12	0.6509928161
13	0.6486451989
14	0.6462119562
15	0.642977482
16	0.640853175
17	0.6394055804
18	0.6374124481
19	0.6337625329
20	0.631032737
21	0.628672248
22	0.6261725081
23	0.6246566301
24	0.6224901218
25	0.6187724974
26	0.6165789459
27	0.6144564578
28	0.6118465271
29	0.6106649499
30	0.6100510725
31	0.60730847
32	0.6041107977
33	0.6021720165
34	0.600419681
35	0.5983200156
36	0.5968624192
37	0.5953103553
38	0.5926520284
39	0.5912803746
40	0.58791353
41	0.5854545765
42	0.5831788959
43	0.5805763212
44	0.5778180251
45	0.5765963378
46	0.5745978158
47	0.5723306829
48	0.5695326089
49	0.5677506974
50	0.5641227571
51	0.5608883075
52	0.5573702356
53	0.5548486427
54	0.5516455406
55	0.5495272718
56	0.5458819635
57	0.5435442347
58	0.5415471778
59	0.5402007348
60	0.5370933223
61	0.5345981123
62	0.5335529664
63	0.5309624255
64	0.5291894428
65	0.5279319151
66	0.5269748982
67	0.5253657277
68	0.5238424192
69	0.521908718
70	0.5213209892
71	0.5184457234
72	0.5171819499
73	0.514343598
74	0.5117027399
75	0.5103889871
76	0.5090284686
77	0.5068710912
78	0.5044903846
79	0.5029366028
80	0.5002483409
81	0.4980689018
82	0.4964584183
83	0.4951677337
84	0.4937260897
85	0.4915169176
86	0.489106972
87	0.4874127715
88	0.4848390439
89	0.4842779583
90	0.4826752416
91	0.4815069499
92	0.4796660222
93	0.4781381512
94	0.4758940371
95	0.4752524793
96	0.4732875194
97	0.471455787
98	0.4693199986
99	0.4678556638
100	0.4658064743
101	0.4641011704
102	0.4620552634
103	0.4598450579
104	0.4580406963
105	0.4562004832
106	0.4548790253
107	0.4539792982
108	0.4519265512
109	0.4505689011
110	0.4496911696
111	0.4485619309
112	0.4472645133
113	0.4448949826
114	0.4427356346
115	0.4412873387
116	0.439475235
117	0.4385517833
118	0.4370769122
119	0.4348687772
120	0.4325391089
121	0.4309912905
122	0.4291320469
123	0.427726622
124	0.4266394554
125	0.425864608
126	0.4246130887
127	0.4226069713
128	0.4206679771
129	0.4194657824
130	0.417659029
131	0.4158776636
132	0.413835292
133	0.4125492879
134	0.4113190988
135	0.4093683699
136	0.4081196776
137	0.4073974507
138	0.4066378635
139	0.4056019917
140	0.4030964947
141	0.4023528311
142	0.4018540487
143	0.4004858339
144	0.3994627069
145	0.3980318146
146	0.3966555562
147	0.39404811
148	0.3921907027
149	0.3896521145
150	0.3875816171
151	0.3858606126
152	0.3842911415
153	0.3833026122
154	0.3818714271
155	0.380421413
156	0.3799259012
157	0.378276754
158	0.3771191822
159	0.3762211779
160	0.3752207445
161	0.3746627353
162	0.3732332888
163	0.3726313534
164	0.3715692869
165	0.370457008
166	0.3677008973
167	0.3669566367
168	0.3653942681
169	0.364340078
170	0.3630229868
171	0.3612637784
172	0.3608817081
173	0.3587319818
174	0.356690337
175	0.3556108039
176	0.3537831259
177	0.3527169852
178	0.3514510441
179	0.3505263328
180	0.3492325981
181	0.3472047945
182	0.3462683678
183	0.3453334534
184	0.3443636885
185	0.3434823172
186	0.3414477725
187	0.340139496
188	0.3390494369
189	0.3383860255
190	0.337516504
191	0.3362966899
192	0.3356023818
193	0.333894983
194	0.3321748277
195	0.3315788119
196	0.330569336
197	0.3288890958
198	0.3276805928
199	0.3266434653
