iter	Passed	Remaining
0	63	12692
1	66	6628
2	69	4586
3	72	3562
4	75	2948
5	78	2541
6	81	2246
7	84	2022
8	87	1847
9	89	1706
10	92	1591
11	95	1503
12	98	1422
13	101	1351
14	104	1287
15	107	1232
16	109	1182
17	112	1138
18	115	1099
19	118	1063
20	120	1030
21	123	1000
22	126	972
23	129	946
24	131	922
25	134	900
26	137	879
27	140	860
28	142	841
29	145	825
30	148	809
31	151	794
32	154	780
33	156	766
34	159	753
35	162	740
36	165	728
37	168	716
38	170	705
39	173	693
40	176	683
41	179	673
42	181	664
43	184	654
44	187	645
45	190	636
46	192	627
47	195	619
48	198	611
49	201	603
50	203	595
51	206	588
52	209	581
53	212	574
54	215	567
55	217	560
56	220	553
57	223	546
58	226	540
59	228	534
60	231	527
61	234	521
62	238	518
63	241	512
64	244	507
65	247	501
66	249	496
67	253	491
68	255	485
69	259	481
70	262	476
71	265	471
72	267	466
73	270	460
74	273	455
75	276	451
76	279	446
77	282	441
78	285	437
79	288	433
80	291	428
81	295	424
82	298	421
83	301	416
84	304	412
85	307	407
86	310	403
87	313	398
88	315	393
89	319	389
90	322	385
91	325	381
92	327	377
93	330	372
94	333	368
95	336	364
96	339	360
97	342	356
98	344	351
99	347	347
100	350	343
101	353	339
102	356	335
103	358	331
104	361	327
105	364	323
106	367	319
107	370	315
108	373	311
109	376	307
110	379	304
111	382	300
112	385	296
113	387	292
114	390	288
115	393	284
116	396	280
117	399	277
118	402	273
119	404	269
120	407	266
121	410	262
122	413	258
123	415	254
124	418	251
125	421	247
126	424	244
127	427	240
128	430	236
129	433	233
130	436	229
131	438	226
132	441	222
133	444	218
134	447	215
135	449	211
136	452	208
137	455	204
138	459	201
139	462	198
140	465	194
141	468	191
142	471	187
143	474	184
144	476	180
145	479	177
146	482	173
147	485	170
148	487	167
149	490	163
150	493	160
151	496	156
152	499	153
153	502	150
154	505	146
155	508	143
156	511	140
157	514	136
158	517	133
159	520	130
160	523	126
161	526	123
162	529	120
163	533	117
164	536	113
165	539	110
166	542	107
167	545	103
168	548	100
169	551	97
170	554	93
171	556	90
172	559	87
173	562	84
174	565	80
175	568	77
176	570	74
177	573	70
178	577	67
179	580	64
180	582	61
181	585	57
182	588	54
183	591	51
184	595	48
185	598	45
186	602	41
187	605	38
188	608	35
189	611	32
190	614	28
191	620	25
192	623	22
193	626	19
194	628	16
195	631	12
196	635	9
197	637	6
198	640	3
199	643	0
