Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company,Type,Source,Daily_Return,Daily_Return_Percent,MA_20,MA_50,MA_200,RSI,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,Volume_MA_20,Volume_Ratio,Volatility_20D,Price_Change_5D,Price_Change_20D,NIFTY50_Close,NIFTY50_Return,NIFTY_PHARMA_Close,NIFTY_PHARMA_Return,Year,Month,Day_of_Week,Is_Month_End,Is_Quarter_End,avg_sentiment,sentiment_std,news_count,weighted_avg_sentiment,weighted_sentiment_std,avg_priority,max_priority,total_priority,drug_specific_count,company_news_count,fda_milestones,market_impacts,drug_news_ratio,has_application_phase,has_clinical_trials,has_regulatory_review,has_approval_process,has_post_approval,has_regulatory_issues,day_importance_score,Return_1D,Return_3D,Return_5D,MA_5,Price_Above_MA_5,MA_10,Price_Above_MA_10,Price_Above_MA_20,Volatility_5D,Momentum_5D,Momentum_20D,Volume_MA_10,High_Volume,Positive_Sentiment,Negative_Sentiment,Strong_Sentiment,Sentiment_Change,Sentiment_MA_3,Major_FDA_Event,Minor_FDA_Event,Days_Since_FDA,Is_Monday,Is_Friday,Is_Earnings_Month,RSI_Oversold,RSI_Overbought,MACD_Positive,Sentiment_Volume_Signal,FDA_Sentiment_Signal,Next_Day_Up,Next_3Day_Up,Next_Day_Significant_Up,Next_Day_Significant_Down,Next_Day_Significant_Move,Next_Day_Return_Clean
2015-01-01,69.66876172747271,70.12035150175193,69.0611594656716,69.80013275146484,1496142,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,,,,,,,0.0,0.0,,,,,,,,,,,10923.25,,2015,1,3,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,,,,,0,,0,0,,,,,0,0,0,0,,,0,0,1,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0.0
2015-01-02,69.75907632028829,71.07280150303127,69.75907632028829,70.40773010253906,3961962,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0087048165543992,0.8704816554399253,,,,,0.0136319918510281,0.0075733288061267,,,,,,,,,8395.4501953125,,10955.599609375,0.0029615370311033,2015,1,4,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.008704816554399253,,,,0,,0,0,,,,,0,0,0,0,0.0,,0,0,2,0,1,1,0,0,1,0,0.0,1,0,0,0,0,0.0
2015-01-05,70.28457324919707,71.10564967163258,70.28457324919707,70.50626373291016,1729986,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.001399471765779,0.1399471765779036,,,,,0.020425385371027,0.012840565103217,,,,,,,,,8378.400390625,-0.0020308386436523,10920.599609375,-0.00319471331994,2015,1,0,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.0013994717657790368,,,,0,,0,0,,,,,0,0,0,0,0.0,0.0,0,0,3,1,0,1,0,0,1,0,0.0,0,0,0,1,1,-0.03388870751900386
2015-01-06,69.80832543650001,70.10391768943002,67.79667890668635,68.11689758300781,2587974,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0338887075190038,-3.388870751900386,,,,,-0.06325257519903,-0.0129362439422596,,,,,,,,,8127.35009765625,-0.0299639885018698,10637.7998046875,-0.0258959960810873,2015,1,1,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.03388870751900386,-0.024115071162550294,,,0,,0,0,,,,,0,0,0,0,0.0,0.0,0,0,4,0,0,1,0,0,0,0,0.0,0,1,0,1,1,-0.025192821232635665
2015-01-07,68.02658323763934,68.58491751965785,66.06420444216297,66.40084075927734,4228686,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0251928212326356,-2.5192821232635665,,,,,-0.1756761518118708,-0.0613476872637765,,,,,,,,,8102.10009765625,-0.0031067936900222,10604.9501953125,-0.0030880078567115,2015,1,2,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.025192821232635665,-0.05690979296486676,,69.04637298583984,0,,0,0,,,,,0,0,0,0,0.0,0.0,0,0,5,0,0,1,0,0,0,0,0.0,1,1,1,0,1,0.0157042893314725
2015-01-08,66.91812721395978,67.8623732678933,66.69643675391605,67.44361877441406,3145614,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0157042893314725,1.57042893314725,,,,,-0.1953660416907183,-0.0976741125898406,,,,,,,-3.3760881020692968,,8234.599609375,0.0163537243580931,10737.599609375,0.0125082543170389,2015,1,3,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.0157042893314725,-0.0434379131207111,-0.03376088102069297,68.57507019042968,0,,0,0,0.344705529708161,-0.03376088102069297,,,0,0,0,0,0.0,0.0,0,0,6,0,0,1,0,0,0,0,0.0,1,1,1,0,1,0.012783075055684545
2015-01-09,67.81310679718804,69.01188608891574,67.50930569042956,68.30575561523438,3810000,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0127830750556845,1.2783075055684543,,,,,-0.1655719961229351,-0.1148572555613604,,,,,,,-2.985431406812089,,8284.5,0.0060598441930546,10934.5498046875,0.0183421064742015,2015,1,4,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.012783075055684545,0.00277255774892593,-0.02985431406812089,68.15467529296875,1,,0,0,0.3571452901079767,-0.02985431406812089,,,0,0,0,0,0.0,0.0,0,0,7,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0.0
2015-01-12,68.47817917019637,69.3649484614566,67.6570953794408,69.02009582519531,2729310,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0104579797635913,1.0457979763591307,,,,,-0.1089581126012575,-0.1134395805746397,,,,,,,-2.107852308476743,,8323.0,0.0046472327841149,10976.2001953125,0.003809063141049,2015,1,0,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.010457979763591307,0.039446112970369374,-0.02107852308476743,67.85744171142578,1,,0,0,0.37409908862600433,-0.02107852308476743,,,0,0,0,0,0.0,0.0,0,0,8,1,0,1,0,0,0,0,0.0,1,1,1,0,1,0.015703133618567566
2015-01-13,70.29277532170919,70.7279474376803,69.63591274327297,70.10392761230469,5188932,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0157031336185675,1.5703133618567566,,,,,-0.0143233785005634,-0.090543246177514,,,,,,,2.9170882700220835,,8299.400390625,-0.0028354691066923,10984.2998046875,0.0007379247126395,2015,1,1,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.015703133618567566,0.03944493024297602,0.029170882700220835,68.25484771728516,1,,0,0,0.27804649826873384,0.029170882700220835,,,0,0,0,0,0.0,0.0,0,0,9,0,0,1,0,0,0,0,0.0,0,1,0,0,0,0.0
2015-01-14,70.01360939724226,70.59657767088278,69.31568772724954,69.57022094726562,3303558,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0076130779432305,-0.7613077943230517,,,,,0.0255254715095532,-0.0645371156357959,,,,,1.0265179723408369,,4.773102496515391,,8277.5498046875,-0.0026327909136885,10881.5498046875,-0.009354260337664,2015,1,2,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.007613077943230517,0.018511841654369032,0.04773102496515391,68.88872375488282,1,68.96754837036133,1,0,0.15502711598315821,0.04773102496515391,,3218216.4,0,0,0,0,0.0,0.0,0,0,10,0,0,1,0,0,1,0,0.0,1,1,1,0,1,0.01534296306011762
