date,avg_sentiment,sentiment_std,news_count,weighted_avg_sentiment,weighted_sentiment_std,avg_priority,max_priority,total_priority,drug_specific_count,company_news_count,fda_milestones,market_impacts,drug_news_ratio,has_application_phase,has_clinical_trials,has_regulatory_review,has_approval_process,has_post_approval,has_regulatory_issues,day_importance_score
2015-04-02,0.0,0.0,4,0.0,0.0,1.0,1,4,0,4,Other,Other,0.0,0,0,0,0,0,0,1
2015-09-28,0.3148111111111111,0.0,1,0.3148111111111111,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2015-10-04,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2015-12-02,0.0,0.0,1,0.0,0.0,7.0,7,7,0,0,Other,Other,0.0,0,0,0,0,0,0,7
2015-12-09,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2015-12-28,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2016-01-27,0.09999999999999999,0.0,1,0.09999999999999999,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2016-04-27,0.0,0.0,1,0.0,0.0,7.0,7,7,0,1,Other,Other,0.0,0,0,0,0,0,0,7
2016-05-17,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2016-07-23,0.2787,0.0,1,0.2787,0.0,7.0,7,7,0,0,Other,Other,0.0,0,0,0,0,0,0,7
2016-10-21,0.2308,0.19987866319344846,3,0.2308,0.19987866319344846,1.0,1,3,0,3,Other,Other,0.0,0,0,0,0,0,0,1
2016-11-17,0.3592,0.0,1,0.3592,0.0,8.0,8,8,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2016-12-13,-0.26506875,0.13444751560785717,2,-0.26506875,0.13444751560785717,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2016-12-23,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2017-01-25,0.5063,0.0,1,0.5063,0.0,8.0,8,8,0,1,Other,Other,0.0,0,0,0,0,0,0,8
2017-03-02,0.0,0.0,1,0.0,0.0,8.0,8,8,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2017-03-03,0.02727272727272727,0.0,2,0.02727272727272727,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2017-03-06,0.03563636363636364,0.0,2,0.03563636363636364,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2017-03-13,-0.31845,0.0,1,-0.31845,0.0,8.0,8,8,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2017-07-20,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2017-07-25,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2017-08-03,-0.148,0.0,1,-0.148,0.0,7.0,7,7,0,1,Other,Other,0.0,0,0,0,0,0,0,7
