date,datetime,title,summary,url,source,search_query,query_type,date_range,fda_milestone_type,market_impact_type,company_news_category,priority_score,drug_specific,company_mentioned,sentiment_score,weighted_sentiment,sentiment_label,sentiment_weight
2020-06-11,2020-06-11 07:00:00,Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection) - PR Newswire,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5"" target=""_blank"">Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5,Google News - FDA Journey + Company News,Semglee FDA application,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
2020-06-11,2020-06-11 07:00:00,Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection) - PR Newswire,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5"" target=""_blank"">Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5,Google News - FDA Journey + Company News,Semglee FDA approval,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
2020-06-11,2020-06-11 07:00:00,Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection) - PR Newswire,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5"" target=""_blank"">Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5,Google News - FDA Journey + Company News,Semglee clinical trial,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
2020-06-11,2020-06-11 07:00:00,Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection) - PR Newswire,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5"" target=""_blank"">Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5,Google News - FDA Journey + Company News,Semglee regulatory approval,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
2020-06-11,2020-06-11 07:00:00,Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection) - PR Newswire,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5"" target=""_blank"">Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5,Google News - FDA Journey + Company News,Biocon Semglee FDA,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
2020-06-11,2020-06-11 07:00:00,Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection) - PR Newswire,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5"" target=""_blank"">Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZWtPRnhZNm1pemVzTi1Kd1pDV2ZqRkdCcTFtaTBGWkhHcWtsVk4wdUZ3RUEwNDJjNFFCWnhZSzdMOUl2NjJPZE12eEZjNzd6eVQxZDk1UHVkZkpTLXRLX0RJeFF0VDJvZFB5WFVjNFRheE1ncjhJb1pWYXhUXzFzaTFaZ3B0eldwajhVUk5abVdJaklYMGRHTUItUU5HcHJYdE9HV3Z6b1J0UkJRMzdHd2t2U1lHMXpzWkhkdVpzM0FTQkF0UVJfaGEzOEppUERi?oc=5,Google News - FDA Journey + Company News,Biocon FDA approval,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
2020-06-12,2020-06-12 07:00:00,"Biocon and Mylan receive US FDA approval for Semglee, an insulin glargine injection - Express Pharma","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOTk1oVUE4dUU3MWZESDFmbmg0d0I3bG5nc1BkenBxVDRYSWgwbGZEb1NyZDdxNUotUUNieEZ4MTJGSlNfbGpJV2VsT0k5QUh3V3VWNHpWZzZyUE9aRXRoRmRySGxMcVc4TmZoY1dYdUpuQ3B4SS1LODVnRTB1R0phUUZMQ19XSGdOQjVtbGhFUnM5VGtPMTlfZXplX255YWRwZUJxWF83TG1YdE9SWEszTXdB0gG3AUFVX3lxTE1ZOElQQ1pUOVZ6OHdObXk4T0dzRmhWaDlrUmxaSVpsWExQbm95dXQzdmwzQTRhNXp0MzNnRzFhWG5zaDFMcFJQVFh4MlA0bEFCeDVaSlljUkdGemRJcEZRQU5YbTRHOUhnTko4bWJuTV9UNHgzRVRIMzNRSk52MWJQaXpFUmVtcVA0aV92Ulp1amhnb3IyOTFfVWtzOFpHaW1LSTQ1NEh0V0VDME85eTcyelI5S0VwOA?oc=5"" target=""_blank"">Biocon and Mylan receive US FDA approval for Semglee, an insulin glargine injection</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Express Pharma</font>",https://news.google.com/rss/articles/CBMisgFBVV95cUxOTk1oVUE4dUU3MWZESDFmbmg0d0I3bG5nc1BkenBxVDRYSWgwbGZEb1NyZDdxNUotUUNieEZ4MTJGSlNfbGpJV2VsT0k5QUh3V3VWNHpWZzZyUE9aRXRoRmRySGxMcVc4TmZoY1dYdUpuQ3B4SS1LODVnRTB1R0phUUZMQ19XSGdOQjVtbGhFUnM5VGtPMTlfZXplX255YWRwZUJxWF83TG1YdE9SWEszTXdB0gG3AUFVX3lxTE1ZOElQQ1pUOVZ6OHdObXk4T0dzRmhWaDlrUmxaSVpsWExQbm95dXQzdmwzQTRhNXp0MzNnRzFhWG5zaDFMcFJQVFh4MlA0bEFCeDVaSlljUkdGemRJcEZRQU5YbTRHOUhnTko4bWJuTV9UNHgzRVRIMzNRSk52MWJQaXpFUmVtcVA0aV92Ulp1amhnb3IyOTFfVWtzOFpHaW1LSTQ1NEh0V0VDME85eTcyelI5S0VwOA?oc=5,Google News - FDA Journey + Company News,Semglee FDA application,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
2020-06-12,2020-06-12 07:00:00,"Biocon and Mylan receive US FDA approval for Semglee, an insulin glargine injection - Express Pharma","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOTk1oVUE4dUU3MWZESDFmbmg0d0I3bG5nc1BkenBxVDRYSWgwbGZEb1NyZDdxNUotUUNieEZ4MTJGSlNfbGpJV2VsT0k5QUh3V3VWNHpWZzZyUE9aRXRoRmRySGxMcVc4TmZoY1dYdUpuQ3B4SS1LODVnRTB1R0phUUZMQ19XSGdOQjVtbGhFUnM5VGtPMTlfZXplX255YWRwZUJxWF83TG1YdE9SWEszTXdB0gG3AUFVX3lxTE1ZOElQQ1pUOVZ6OHdObXk4T0dzRmhWaDlrUmxaSVpsWExQbm95dXQzdmwzQTRhNXp0MzNnRzFhWG5zaDFMcFJQVFh4MlA0bEFCeDVaSlljUkdGemRJcEZRQU5YbTRHOUhnTko4bWJuTV9UNHgzRVRIMzNRSk52MWJQaXpFUmVtcVA0aV92Ulp1amhnb3IyOTFfVWtzOFpHaW1LSTQ1NEh0V0VDME85eTcyelI5S0VwOA?oc=5"" target=""_blank"">Biocon and Mylan receive US FDA approval for Semglee, an insulin glargine injection</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Express Pharma</font>",https://news.google.com/rss/articles/CBMisgFBVV95cUxOTk1oVUE4dUU3MWZESDFmbmg0d0I3bG5nc1BkenBxVDRYSWgwbGZEb1NyZDdxNUotUUNieEZ4MTJGSlNfbGpJV2VsT0k5QUh3V3VWNHpWZzZyUE9aRXRoRmRySGxMcVc4TmZoY1dYdUpuQ3B4SS1LODVnRTB1R0phUUZMQ19XSGdOQjVtbGhFUnM5VGtPMTlfZXplX255YWRwZUJxWF83TG1YdE9SWEszTXdB0gG3AUFVX3lxTE1ZOElQQ1pUOVZ6OHdObXk4T0dzRmhWaDlrUmxaSVpsWExQbm95dXQzdmwzQTRhNXp0MzNnRzFhWG5zaDFMcFJQVFh4MlA0bEFCeDVaSlljUkdGemRJcEZRQU5YbTRHOUhnTko4bWJuTV9UNHgzRVRIMzNRSk52MWJQaXpFUmVtcVA0aV92Ulp1amhnb3IyOTFfVWtzOFpHaW1LSTQ1NEh0V0VDME85eTcyelI5S0VwOA?oc=5,Google News - FDA Journey + Company News,Semglee FDA approval,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
2020-06-12,2020-06-12 07:00:00,"Biocon and Mylan receive US FDA approval for Semglee, an insulin glargine injection - Express Pharma","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOTk1oVUE4dUU3MWZESDFmbmg0d0I3bG5nc1BkenBxVDRYSWgwbGZEb1NyZDdxNUotUUNieEZ4MTJGSlNfbGpJV2VsT0k5QUh3V3VWNHpWZzZyUE9aRXRoRmRySGxMcVc4TmZoY1dYdUpuQ3B4SS1LODVnRTB1R0phUUZMQ19XSGdOQjVtbGhFUnM5VGtPMTlfZXplX255YWRwZUJxWF83TG1YdE9SWEszTXdB0gG3AUFVX3lxTE1ZOElQQ1pUOVZ6OHdObXk4T0dzRmhWaDlrUmxaSVpsWExQbm95dXQzdmwzQTRhNXp0MzNnRzFhWG5zaDFMcFJQVFh4MlA0bEFCeDVaSlljUkdGemRJcEZRQU5YbTRHOUhnTko4bWJuTV9UNHgzRVRIMzNRSk52MWJQaXpFUmVtcVA0aV92Ulp1amhnb3IyOTFfVWtzOFpHaW1LSTQ1NEh0V0VDME85eTcyelI5S0VwOA?oc=5"" target=""_blank"">Biocon and Mylan receive US FDA approval for Semglee, an insulin glargine injection</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Express Pharma</font>",https://news.google.com/rss/articles/CBMisgFBVV95cUxOTk1oVUE4dUU3MWZESDFmbmg0d0I3bG5nc1BkenBxVDRYSWgwbGZEb1NyZDdxNUotUUNieEZ4MTJGSlNfbGpJV2VsT0k5QUh3V3VWNHpWZzZyUE9aRXRoRmRySGxMcVc4TmZoY1dYdUpuQ3B4SS1LODVnRTB1R0phUUZMQ19XSGdOQjVtbGhFUnM5VGtPMTlfZXplX255YWRwZUJxWF83TG1YdE9SWEszTXdB0gG3AUFVX3lxTE1ZOElQQ1pUOVZ6OHdObXk4T0dzRmhWaDlrUmxaSVpsWExQbm95dXQzdmwzQTRhNXp0MzNnRzFhWG5zaDFMcFJQVFh4MlA0bEFCeDVaSlljUkdGemRJcEZRQU5YbTRHOUhnTko4bWJuTV9UNHgzRVRIMzNRSk52MWJQaXpFUmVtcVA0aV92Ulp1amhnb3IyOTFfVWtzOFpHaW1LSTQ1NEh0V0VDME85eTcyelI5S0VwOA?oc=5,Google News - FDA Journey + Company News,Semglee clinical trial,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
2020-06-12,2020-06-12 07:00:00,"Biocon and Mylan receive US FDA approval for Semglee, an insulin glargine injection - Express Pharma","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOTk1oVUE4dUU3MWZESDFmbmg0d0I3bG5nc1BkenBxVDRYSWgwbGZEb1NyZDdxNUotUUNieEZ4MTJGSlNfbGpJV2VsT0k5QUh3V3VWNHpWZzZyUE9aRXRoRmRySGxMcVc4TmZoY1dYdUpuQ3B4SS1LODVnRTB1R0phUUZMQ19XSGdOQjVtbGhFUnM5VGtPMTlfZXplX255YWRwZUJxWF83TG1YdE9SWEszTXdB0gG3AUFVX3lxTE1ZOElQQ1pUOVZ6OHdObXk4T0dzRmhWaDlrUmxaSVpsWExQbm95dXQzdmwzQTRhNXp0MzNnRzFhWG5zaDFMcFJQVFh4MlA0bEFCeDVaSlljUkdGemRJcEZRQU5YbTRHOUhnTko4bWJuTV9UNHgzRVRIMzNRSk52MWJQaXpFUmVtcVA0aV92Ulp1amhnb3IyOTFfVWtzOFpHaW1LSTQ1NEh0V0VDME85eTcyelI5S0VwOA?oc=5"" target=""_blank"">Biocon and Mylan receive US FDA approval for Semglee, an insulin glargine injection</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Express Pharma</font>",https://news.google.com/rss/articles/CBMisgFBVV95cUxOTk1oVUE4dUU3MWZESDFmbmg0d0I3bG5nc1BkenBxVDRYSWgwbGZEb1NyZDdxNUotUUNieEZ4MTJGSlNfbGpJV2VsT0k5QUh3V3VWNHpWZzZyUE9aRXRoRmRySGxMcVc4TmZoY1dYdUpuQ3B4SS1LODVnRTB1R0phUUZMQ19XSGdOQjVtbGhFUnM5VGtPMTlfZXplX255YWRwZUJxWF83TG1YdE9SWEszTXdB0gG3AUFVX3lxTE1ZOElQQ1pUOVZ6OHdObXk4T0dzRmhWaDlrUmxaSVpsWExQbm95dXQzdmwzQTRhNXp0MzNnRzFhWG5zaDFMcFJQVFh4MlA0bEFCeDVaSlljUkdGemRJcEZRQU5YbTRHOUhnTko4bWJuTV9UNHgzRVRIMzNRSk52MWJQaXpFUmVtcVA0aV92Ulp1amhnb3IyOTFfVWtzOFpHaW1LSTQ1NEh0V0VDME85eTcyelI5S0VwOA?oc=5,Google News - FDA Journey + Company News,Semglee regulatory approval,FDA Journey + Company News,2017-01-01_to_2021-12-31,approval_process,Other,Other,21,True,True,0.36755,1.10265,positive,3.0
