date,datetime,title,summary,url,source,search_query,query_group,collection_timestamp,drug_specific,company_specific,fda_regulatory,financial,competitive,overall_relevance,sentiment_score,sentiment_confidence,sentiment_positive,sentiment_negative,sentiment_neutral,revenue_mentioned,profit_mentioned,loss_mentioned,percentage_change,currency_amount,milestone_pre_clinical,milestone_ind_application,milestone_phase_1_trials,milestone_phase_2_trials,milestone_phase_3_trials,milestone_bla_submission,milestone_fda_review,milestone_fda_inspection,milestone_fda_approval,milestone_product_launch,milestone_market_penetration,milestone_regulatory_issues,primary_fda_milestone,fda_milestone_confidence,priority_score
2021-07-29,2021-07-29 07:00:00,Biocon Biologics interchangeable insulin Semglee gets US FDA approval - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxNcEFTdFZtZlNDd2ZYdFlzQ2lXcXd4ZlBjcGVYdUE4Rm9Sa0UweXRXakIwcTJsbll0UWVpNDdxbzhBVU11TE9JdzBnd1g4ZkRScVdqSHNXQ0ZkSWFpYWFjdUpMenRhNXBleThCejd6ZnlLbFFQRHBLeGcxTnhQV3EwUnM4cG9vTk5ERWRFb3J2bkU4MGptVEpLREROeWQ0NXJHdG9QdFdLaGxmYXpvLTdDbGtWS1BJdUhGOFhOV0tWMTY2YzQ1RGxRRndRYTRhQ1k4S09hWFc4M1hvUFNtVm1JT0dCc0d4NFk4dm55TVRPMF9BVDVGQnfSAfsBQVVfeXFMTWx6NnAtal9OcTBCS2Z4QVBXNTNVMkFxdGxJOGhTX29Cejg0cDR2dk5UamZYN3JCWlh1WG9KOWZSaXN6enppRU91eEp1dlluNzhHSmJKY01qa1VQcEhvYnp2VzVseTh3QTNKTVRWU1Z1UlNlNk94UWdkRnlaam5CbDJSb19wSXhwMEF4Sm9VQTJ0TnViZGlzMXVNMGFpdFdITUhSRjVtVnFrZmV3WlhPRHc3c3hXMmI0VEhMckdoZjlIcnhfVVNHMDh6TWZCd0hOdEY2eHVWOXhmbDdXYzVnV3dxdlg1VjZMTlRCNU5YV3pxaGsyOEJJZGhuVkE?oc=5"" target=""_blank"">Biocon Biologics interchangeable insulin Semglee gets US FDA approval</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",https://news.google.com/rss/articles/CBMi9gFBVV95cUxNcEFTdFZtZlNDd2ZYdFlzQ2lXcXd4ZlBjcGVYdUE4Rm9Sa0UweXRXakIwcTJsbll0UWVpNDdxbzhBVU11TE9JdzBnd1g4ZkRScVdqSHNXQ0ZkSWFpYWFjdUpMenRhNXBleThCejd6ZnlLbFFQRHBLeGcxTnhQV3EwUnM4cG9vTk5ERWRFb3J2bkU4MGptVEpLREROeWQ0NXJHdG9QdFdLaGxmYXpvLTdDbGtWS1BJdUhGOFhOV0tWMTY2YzQ1RGxRRndRYTRhQ1k4S09hWFc4M1hvUFNtVm1JT0dCc0d4NFk4dm55TVRPMF9BVDVGQnfSAfsBQVVfeXFMTWx6NnAtal9OcTBCS2Z4QVBXNTNVMkFxdGxJOGhTX29Cejg0cDR2dk5UamZYN3JCWlh1WG9KOWZSaXN6enppRU91eEp1dlluNzhHSmJKY01qa1VQcEhvYnp2VzVseTh3QTNKTVRWU1Z1UlNlNk94UWdkRnlaam5CbDJSb19wSXhwMEF4Sm9VQTJ0TnViZGlzMXVNMGFpdFdITUhSRjVtVnFrZmV3WlhPRHc3c3hXMmI0VEhMckdoZjlIcnhfVVNHMDh6TWZCd0hOdEY2eHVWOXhmbDdXYzVnV3dxdlg1VjZMTlRCNU5YV3pxaGsyOEJJZGhuVkE?oc=5,Google News,Semglee FDA approval,drug_fda,2025-06-27T05:41:06.413593,0.4,0.5,0.4,0.0,0.0,0.32,0.3125302559565188,0.5953021370357937,0.3125302559565188,0.0,0.6874697440434812,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,fda_approval,7.5,41.63759076786956
2021-07-29,2021-07-29 07:00:00,Semglee Receives FDA Approval as First Interchangeable Biosimilar Insulin - Beyond Type 1,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE9lUDVIWEFPd0ZxQ214RDM4VU8wY3U5NmFrU0QzWXI3X3NIdllFZEtVRVd5N214ZmI3bnRkeHM5QS0taU85M21YSENrQnFRR1NCMDhKWmUxdXBJTTRfZ3l5Slh1VUFJNUlNUjY0aTRR?oc=5"" target=""_blank"">Semglee Receives FDA Approval as First Interchangeable Biosimilar Insulin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Beyond Type 1</font>",https://news.google.com/rss/articles/CBMibkFVX3lxTE9lUDVIWEFPd0ZxQ214RDM4VU8wY3U5NmFrU0QzWXI3X3NIdllFZEtVRVd5N214ZmI3bnRkeHM5QS0taU85M21YSENrQnFRR1NCMDhKWmUxdXBJTTRfZ3l5Slh1VUFJNUlNUjY0aTRR?oc=5,Google News,Semglee FDA approval,drug_fda,2025-06-27T05:41:06.412871,0.2,0.0,0.6,0.0,0.0,0.21000000000000002,0.6190875751499073,0.5014886289490593,0.6190875751499073,0.0,0.3809124248500927,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,fda_approval,7.5,41.45726272544972
2021-07-29,2021-07-29 07:00:00,FDA clears interchangeable insulin biosimilar Semglee - Drug Store News,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxOYWJBQlBmalc2M3FaNVEyRU1tSmNHLVFIaUJxREdLaWRPcmd5S2JmV21feDB3YkhIU2Vxc1p3V1RIWWh3ajNUN29ydk1CNDRvMG42OWhyQXFxLTh3WXU5TjdGWVlUX0hQV0FLdjM4U0ZhRk1zdWpidUEyT3JiZzZWVWRmNlNxUQ?oc=5"" target=""_blank"">FDA clears interchangeable insulin biosimilar Semglee</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Drug Store News</font>",https://news.google.com/rss/articles/CBMihgFBVV95cUxOYWJBQlBmalc2M3FaNVEyRU1tSmNHLVFIaUJxREdLaWRPcmd5S2JmV21feDB3YkhIU2Vxc1p3V1RIWWh3ajNUN29ydk1CNDRvMG42OWhyQXFxLTh3WXU5TjdGWVlUX0hQV0FLdjM4U0ZhRk1zdWpidUEyT3JiZzZWVWRmNlNxUQ?oc=5,Google News,Semglee FDA approval,drug_fda,2025-06-27T05:41:06.413519,0.6,0.0,0.4,0.0,0.0,0.27999999999999997,0.021676567200290004,0.36044468024571735,0.021676567200290004,0.0,0.97832343279971,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,fda_approval,2.5,35.36502970160087
2021-11-17,2021-11-17 08:00:00,Biocon Biologics and Viatris announce launch of interchangeable SEMGLEE (insulin glargine-yfgn) Injection and Insulin Glargine (insulin glargine-yfgn) Injection - Healthcare Radius,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNcVo4UXpmWDVBNkZ3Rk9zQkhMNG9IN1MwaG5TQm9RTjVKLWJkcU9Gd0p1STRNNkozYlBDb09UZWFXYkZjUWdVVkpOaWdiaFM3akJTOWM1UktZMEM4bkw2YURvY0dhSjhrV3NUeGc2TXZRbEFRbDJ2QU91dDFqSU9BcEcyVjlhQWxHdnhMb2Jxb2NERW9GOEZzNkZKWVBrRTFhSjJEWUdCNk5zWlVtY3Zza0xURzlWWEZJMlQ5WVBZek5QdHRPQVNQVVgzNzdKTnhTOFEyMzVzSEx6OTViSEJXbUVfTnI?oc=5"" target=""_blank"">Biocon Biologics and Viatris announce launch of interchangeable SEMGLEE (insulin glargine-yfgn) Injection and Insulin Glargine (insulin glargine-yfgn) Injection</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Healthcare Radius</font>",https://news.google.com/rss/articles/CBMi5AFBVV95cUxNcVo4UXpmWDVBNkZ3Rk9zQkhMNG9IN1MwaG5TQm9RTjVKLWJkcU9Gd0p1STRNNkozYlBDb09UZWFXYkZjUWdVVkpOaWdiaFM3akJTOWM1UktZMEM4bkw2YURvY0dhSjhrV3NUeGc2TXZRbEFRbDJ2QU91dDFqSU9BcEcyVjlhQWxHdnhMb2Jxb2NERW9GOEZzNkZKWVBrRTFhSjJEWUdCNk5zWlVtY3Zza0xURzlWWEZJMlQ5WVBZek5QdHRPQVNQVVgzNzdKTnhTOFEyMzVzSEx6OTViSEJXbUVfTnI?oc=5,Google News,Semglee interchangeable insulin,drug_fda,2025-06-27T05:41:09.803213,0.6,0.5,0.0,0.0,0.0,0.27999999999999997,0.0,0.30705275138219196,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,fda_approval,2.5,35.3
2021-11-16,2021-11-16 08:00:00,Viatris and Biocon Biologics Announce Launch of Interchangeable SEMGLEE® (insulin glargine-yfgn) Injection and Insulin Glargine (insulin glargine-yfgn) Injection - PR Newswire,"<a href=""https://news.google.com/rss/articles/CBMitwJBVV95cUxPeFdZZElGeWNuVDhIc19nNG1ld1FRei1mSm5wYVozSmJhNE5CbWNBcE56czVrMk5oTEdmV205TDBMS3ZLbFQxaWVXcVlYd0VZWkZaeUtsSktQcjF0UkRXVFdsb3RKUlZ5ZzFPNG9aaTJrRkd3LWctbmx2Sld0VlpWQjlLQk02NU5IV1JLZUEyODFTbkQ3ZHY5cGVQLTI1WFplaUlISjk2Y182NUtUSVY5SGo3YWpiTmhrVkUyZTN3d3BRa2pfUENIcWVGTVBEYzVjOXctbTdQMHFmaGlYRnlxYWNXV2szY29BUFF5NjZjYjc2V2JmVl9mWWxkR28zd0o1amJBUVA4MDRYLVFKNk9qQjZaZTNCNTM3TXdGZERZbDBBNFVPNHlaMUQtbFFubWhORTZ1UVVhQQ?oc=5"" target=""_blank"">Viatris and Biocon Biologics Announce Launch of Interchangeable SEMGLEE® (insulin glargine-yfgn) Injection and Insulin Glargine (insulin glargine-yfgn) Injection</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://news.google.com/rss/articles/CBMitwJBVV95cUxPeFdZZElGeWNuVDhIc19nNG1ld1FRei1mSm5wYVozSmJhNE5CbWNBcE56czVrMk5oTEdmV205TDBMS3ZLbFQxaWVXcVlYd0VZWkZaeUtsSktQcjF0UkRXVFdsb3RKUlZ5ZzFPNG9aaTJrRkd3LWctbmx2Sld0VlpWQjlLQk02NU5IV1JLZUEyODFTbkQ3ZHY5cGVQLTI1WFplaUlISjk2Y182NUtUSVY5SGo3YWpiTmhrVkUyZTN3d3BRa2pfUENIcWVGTVBEYzVjOXctbTdQMHFmaGlYRnlxYWNXV2szY29BUFF5NjZjYjc2V2JmVl9mWWxkR28zd0o1amJBUVA4MDRYLVFKNk9qQjZaZTNCNTM3TXdGZERZbDBBNFVPNHlaMUQtbFFubWhORTZ1UVVhQQ?oc=5,Google News,Semglee interchangeable insulin,drug_fda,2025-06-27T05:41:09.801959,0.6,0.5,0.0,0.0,0.0,0.27999999999999997,0.0,0.30673567454020184,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,fda_approval,2.5,35.3
2025-04-10,2025-04-10 07:00:00,"Biocon Biologics Announces U.S. FDA Approval for Jobevne™, Biosimilar Bevacizumab, Expanding Its Oncology Portfolio - PR Newswire","<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxQcG5TMThQVFo3VWx4b2R4aWtKYVFYLWV4REk5SFc1M01TdTJ1SzZiU1AyUlEzNVBNNzUxYVduVUFoeDFUMm5TRUoxWU1LXzl3bm90UkZuLUtuTm5IRXpranhkc0RDckRBbkIxREVRNmNlejRpdlVuaXFGeTAweTRzQktueE5SS3RVc3ItTG52UHhnVkZ3V1lpV2xIQ0otVEU5Vko4T1FSVlhTdElPRFdTdUttSGhxOXpIYUo4MEoxWWtaWXpvNDJ0clNhQnV6VC1sWjJPMHlIZVBrd1JjVGhOWDl0ZXBXYzNmSFJjdTdleWxHdVExUXVtX3Nn?oc=5"" target=""_blank"">Biocon Biologics Announces U.S. FDA Approval for Jobevne™, Biosimilar Bevacizumab, Expanding Its Oncology Portfolio</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://news.google.com/rss/articles/CBMi-gFBVV95cUxQcG5TMThQVFo3VWx4b2R4aWtKYVFYLWV4REk5SFc1M01TdTJ1SzZiU1AyUlEzNVBNNzUxYVduVUFoeDFUMm5TRUoxWU1LXzl3bm90UkZuLUtuTm5IRXpranhkc0RDckRBbkIxREVRNmNlejRpdlVuaXFGeTAweTRzQktueE5SS3RVc3ItTG52UHhnVkZ3V1lpV2xIQ0otVEU5Vko4T1FSVlhTdElPRFdTdUttSGhxOXpIYUo4MEoxWWtaWXpvNDJ0clNhQnV6VC1sWjJPMHlIZVBrd1JjVGhOWDl0ZXBXYzNmSFJjdTdleWxHdVExUXVtX3Nn?oc=5,Google News,Biocon Biologics FDA approval,regulatory,2025-06-27T05:41:56.632955,0.0,0.5,0.6,0.0,0.0,0.25,0.8057409291705081,0.5336077706336976,0.8057409291705081,0.0,0.1942590708294919,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,fda_approval,2.5,20.417222787511523
2025-04-11,2025-04-11 07:00:00,Biocon Share Price Rises 5.5% After USFDA Approval For JOBEVNE Biosimilar - Samco,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxOT2tPSFdjb2k4bFdmQ1ozeG95NkpOcG5DcGFxZDRUazJEVExuaUluYTkwc1NyLUlySHVIR2tWWUJEaUZfZV9jbS05Vk9HTUhJM1BQVUpkTVF4b253SlY1NWwyYU5XSHhSSDloZTZUNGJLSEhrbXMtOEduX25kTUV6ZE9QdFNSM3J5YjdRWjJuSEhqWDdDZDZWUGd4WWIxU0pTVU5jMXJQMTRfNDVGd2xIamRLdVdIT3FOT2VYMVNheERwdw?oc=5"" target=""_blank"">Biocon Share Price Rises 5.5% After USFDA Approval For JOBEVNE Biosimilar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Samco</font>",https://news.google.com/rss/articles/CBMiwgFBVV95cUxOT2tPSFdjb2k4bFdmQ1ozeG95NkpOcG5DcGFxZDRUazJEVExuaUluYTkwc1NyLUlySHVIR2tWWUJEaUZfZV9jbS05Vk9HTUhJM1BQVUpkTVF4b253SlY1NWwyYU5XSHhSSDloZTZUNGJLSEhrbXMtOEduX25kTUV6ZE9QdFNSM3J5YjdRWjJuSEhqWDdDZDZWUGd4WWIxU0pTVU5jMXJQMTRfNDVGd2xIamRLdVdIT3FOT2VYMVNheERwdw?oc=5,Google News,Biocon stock price reaction,financial,2025-06-27T05:41:44.924472,0.0,0.25,0.6,0.16666666666666666,0.0,0.225,0.8862244085661948,0.5904138644536336,0.8862244085661948,0.0,0.11377559143380522,0,0,0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,fda_approval,2.5,20.408673225698585
2025-04-11,2025-04-11 07:00:00,Biocon Biologics secures FDA approval for Avastin biosimilar Jobevne - World Pharmaceutical Frontiers,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQeEgyZ2lqMlh1YUNDMUZ6ZlJKdTBLdGliRXZIT3RyRHRpYTdXLU5EUXNURTl1WThRM3B1Q3EyZ2paU2NIeFl6Y1FZWDB5SXlxaS14a0V4eEdTZjBfU0dfUHpKbjAzZEZEVkhYQVBrbWpNOW1ZclNKMkk0OTB1S1VrbUVKMkJ0N056MWJrY0dsM0Nmd0FDQ2kwcTFrUGszUkVULTEzbA?oc=5"" target=""_blank"">Biocon Biologics secures FDA approval for Avastin biosimilar Jobevne</a>&nbsp;&nbsp;<font color=""#6f6f6f"">World Pharmaceutical Frontiers</font>",https://news.google.com/rss/articles/CBMipAFBVV95cUxQeEgyZ2lqMlh1YUNDMUZ6ZlJKdTBLdGliRXZIT3RyRHRpYTdXLU5EUXNURTl1WThRM3B1Q3EyZ2paU2NIeFl6Y1FZWDB5SXlxaS14a0V4eEdTZjBfU0dfUHpKbjAzZEZEVkhYQVBrbWpNOW1ZclNKMkk0OTB1S1VrbUVKMkJ0N056MWJrY0dsM0Nmd0FDQ2kwcTFrUGszUkVULTEzbA?oc=5,Google News,Biocon FDA approval impact,financial,2025-06-27T05:41:43.381712,0.0,0.5,0.6,0.0,0.0,0.25,0.4596595811671988,0.5474973516146342,0.4596595811671988,0.0,0.5403404188328012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,fda_approval,2.5,19.378978743501598
2025-04-11,2025-04-11 07:00:00,"Biocon Shares in Focus, Strengthens US Oncology Footprint with Biosimilar Approval - Groww","<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxOR195WnVUMnhKeVg3Sk16NmFQbkY3cDU1QlE1eEUzV1dmdmtmRkRuNFAwRWptdFJuNG4xdFJrYU5JWWZTSm9vTzZfZHhkdWhIcjhSU1FDOWVwa0JXWnBPMGNNenlkWEhYaW1zZ1d4c0VkUUJkaUwyc3FFZnBzVjZBMGtsLWRydGw5ZkhMbFdFTFJleHVKTnFCdlViZXcxdw?oc=5"" target=""_blank"">Biocon Shares in Focus, Strengthens US Oncology Footprint with Biosimilar Approval</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Groww</font>",https://news.google.com/rss/articles/CBMingFBVV95cUxOR195WnVUMnhKeVg3Sk16NmFQbkY3cDU1QlE1eEUzV1dmdmtmRkRuNFAwRWptdFJuNG4xdFJrYU5JWWZTSm9vTzZfZHhkdWhIcjhSU1FDOWVwa0JXWnBPMGNNenlkWEhYaW1zZ1d4c0VkUUJkaUwyc3FFZnBzVjZBMGtsLWRydGw5ZkhMbFdFTFJleHVKTnFCdlViZXcxdw?oc=5,Google News,Biocon Biologics FDA approval,regulatory,2025-06-27T05:41:56.634549,0.0,0.25,0.4,0.0,0.0,0.15,0.7923882466125246,0.4910819925626119,0.7923882466125246,0.0,0.2076117533874754,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,fda_approval,2.5,19.377164739837575
2025-04-10,2025-04-10 07:00:00,"Biocon Biologics secures US FDA approval for Biosimilar Bevacizumab, JOBEVNE - Express Pharma","<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxOczFIemVhMFg4bFNuUVZVb2pFb1FpZ1U2N0xzOE90bXhhOWdIYzFpZDNhUWVrZ2p2QU9WdUJ2czRxTjhpTFJDUGcxWmtRS3pTdVgzbzNWSzE0azc0OW9EejUwRWtFWURMTjU0elhKek1iX1hCX3ZzVHotd0pUV2FXckh4TGpTY2MwamxsMTRFYzdWaGwwMzc3WFdPXy1oVjJxSW9FNHAzSkvSAa4BQVVfeXFMUEhYYklLRFBhRW9sMmNrdDhQVnJkc0Jnc01SQ0VfRWMtR01aZENKOUJ0UkZyXzJOcEo4MkswVHZsdEQzMmljTlZJQkVSVFkwMWtvVm5vUmpTMUdrUFR3a21SVEZBZU9GdTVQcGZMZFJIU0NuSEREdVItc0NlM3lNU2NWY2s2MTdJYW9lUlB3LWJCY1ZRLVg0bk9feUdCMkhUdmcxVmQ0Q0licGM3UTJn?oc=5"" target=""_blank"">Biocon Biologics secures US FDA approval for Biosimilar Bevacizumab, JOBEVNE</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Express Pharma</font>",https://news.google.com/rss/articles/CBMiqAFBVV95cUxOczFIemVhMFg4bFNuUVZVb2pFb1FpZ1U2N0xzOE90bXhhOWdIYzFpZDNhUWVrZ2p2QU9WdUJ2czRxTjhpTFJDUGcxWmtRS3pTdVgzbzNWSzE0azc0OW9EejUwRWtFWURMTjU0elhKek1iX1hCX3ZzVHotd0pUV2FXckh4TGpTY2MwamxsMTRFYzdWaGwwMzc3WFdPXy1oVjJxSW9FNHAzSkvSAa4BQVVfeXFMUEhYYklLRFBhRW9sMmNrdDhQVnJkc0Jnc01SQ0VfRWMtR01aZENKOUJ0UkZyXzJOcEo4MkswVHZsdEQzMmljTlZJQkVSVFkwMWtvVm5vUmpTMUdrUFR3a21SVEZBZU9GdTVQcGZMZFJIU0NuSEREdVItc0NlM3lNU2NWY2s2MTdJYW9lUlB3LWJCY1ZRLVg0bk9feUdCMkhUdmcxVmQ0Q0licGM3UTJn?oc=5,Google News,Biocon Biologics FDA approval,regulatory,2025-06-27T05:41:56.634386,0.0,0.5,0.6,0.0,0.0,0.25,0.4553593501761923,0.5526676969210307,0.4553593501761923,0.0,0.5446406498238077,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,fda_approval,2.5,19.36607805052858
