,MSE,RMSE,MAE,R2
linear_regression,0.0024984741022859177,0.0499847386937845,0.04112373880482926,0.058642565257445045
ridge_regression,0.002542657320411934,0.050424768917784184,0.040242967496566744,0.041995524235197035
lasso_regression,0.0026504550069287205,0.051482569933218376,0.04121545795291257,0.0013802728872720493
random_forest,0.002659493285561216,0.051570275213161466,0.04264664313654389,-0.002025105931819926
gradient_boosting,0.002617233347765137,0.05115890291791974,0.04152164140532438,0.013897295104756568
lightgbm,0.00257658967428856,0.05076011893493316,0.041352428322197786,0.029210731480750596
xgboost,0.002645983242698275,0.051439121713908326,0.04168100371622649,0.003065112646425283
svr,0.002624417001760816,0.05122906403362076,0.040540986665594414,0.011190688663944015
lstm,0.006208958154726646,0.0787969425468187,0.06345003791942985,-1.3393674225439205
ensemble,0.0023960956247671018,0.048949929772851584,0.039623021840936495,0.09721600529502039
