model,feature,importance
Linear_Regression,Volume_Ratio,2150.0823227974643
Linear_Regression,avg_priority,0.017331820745880577
Linear_Regression,Drug_News_MA_7,0.0017710783526467822
Linear_Regression,day_importance_score_lag1,1664464158.5051916
Linear_Regression,Volatility_20D_normalized,0.0003064224586637465
Linear_Regression,Price_Change_20D,86620329452.68875
Linear_Regression,Price_Volatility_5D,0.0003796252804022515
Linear_Regression,RSI,0.007591256136151969
Linear_Regression,Price_Return_10D,0.0003886460411877124
Linear_Regression,MA_50_normalized,3.4817010941878834e-05
Linear_Regression,has_post_approval,5015948987.663919
Linear_Regression,Sentiment_Change_7D,0.0008342831216623381
Linear_Regression,NIFTY_PHARMA_Close,0.0014934746878338956
Linear_Regression,High_Importance_Day,0.00541983338001728
Linear_Regression,Volume,0.0029736767215240434
Linear_Regression,Volume_Ratio_5,0.0002496091396437805
Linear_Regression,Market_Relative_Performance,0.01549824863025151
Linear_Regression,Quarter,3.470391985160859e-05
Linear_Regression,MACD_Signal_normalized,0.0032998753977153683
Linear_Regression,Weighted_Sentiment_MA_14,0.00873086787447619
Linear_Regression,max_priority,1803993069.13697
Linear_Regression,Price_Change_5D,149176017382.31503
Linear_Regression,NIFTY50_Close,0.0006797991605083098
Linear_Regression,BB_Lower,1.6898366930756765
Linear_Regression,drug_news_ratio,0.015666896221517845
Linear_Regression,Low_Sentiment,0.00045522221419957987
Linear_Regression,Volume_Ratio_10,0.0014423670436087832
Linear_Regression,High,0.006690732332415905
Linear_Regression,weighted_avg_sentiment,13900653652.479944
Linear_Regression,RSI_normalized,0.005214013377404569
Linear_Regression,Sentiment_Change_1D,14945018323.217405
Linear_Regression,day_importance_score_lag5,0.0013184303791078378
Linear_Regression,Weighted_Sentiment_Change_1D,2368267833.009678
Linear_Regression,news_count_lag1,3285085144.521158
Linear_Regression,MA_50,1882946308.7112513
Linear_Regression,Stock Splits,0.00045478343963623047
Linear_Regression,has_regulatory_review,461190290.7355156
Linear_Regression,Sentiment_MA_7,0.004364013671875
Linear_Regression,company_news_count,0.00099945068359375
Linear_Regression,Price_MA_5,0.02390289306640625
Linear_Regression,Price_MA_10,0.0063457489013671875
Linear_Regression,Weighted_Sentiment_MA_3,18696703040.517445
Linear_Regression,Drug_News_MA_14,0.0016751289367675781
Linear_Regression,Volatility_20D,175063285311.3217
Linear_Regression,High_News_Day,0.003231048583984375
Linear_Regression,MACD_Signal,0.0018291473388671875
Linear_Regression,Sentiment_MA_21,0.001880645751953125
Linear_Regression,Is_Friday,0.0005712509155273438
Linear_Regression,Is_Month_End,0.00017547607421875
Linear_Regression,BB_Lower_normalized,0.0009975433349609375
Linear_Regression,has_application_phase,2131615003.2776737
Linear_Regression,Price_Ratio_MA_20,2.193450927734375e-05
Linear_Regression,MA_20,1683792626.512497
Linear_Regression,Drug_News_Day,0.016613006591796875
Linear_Regression,News_Volume_MA_14,0.0007581710815429688
Linear_Regression,weighted_avg_sentiment_lag5,0.0047425031661987305
Linear_Regression,BB_Upper_normalized,0.00017690658569335938
Linear_Regression,weighted_avg_sentiment_lag3,2374236543.9562263
Linear_Regression,Weighted_Sentiment_Change_7D,0.001087188720703125
Linear_Regression,Price_MA_20,263725827.3283081
Linear_Regression,MA_200_normalized,0.00286865234375
